weight,height,body_fat,muscle_mass,water_perc,goal,training_days,cardio_minutes,strength_sessions,sets,reps
62,181,13,24,48.40230834618563,Muscle Gain,5,67,4,4,11
77,195,14,25,60.61112053774428,Weight Gain,4,60,4,4,9
50,180,19,29,50.638380858094585,Weight Gain,3,49,3,3,9
61,189,26,34,48.98491908816628,Muscle Gain,4,81,4,3,6
69,175,30,37,54.41734712446353,Weight Loss,5,217,3,3,14
97,167,25,26,54.079798223993976,Weight Loss,5,217,3,2,16
86,155,28,32,56.58628933323875,Weight Gain,5,47,4,4,9
74,162,15,25,62.09406900186395,Weight Loss,5,275,2,3,13
57,157,34,25,52.49096486759163,Muscle Gain,5,26,5,3,9
101,174,18,39,49.993379054804606,Weight Gain,4,38,3,3,7
69,162,26,23,54.16647189175151,Muscle Gain,5,48,5,4,7
72,195,17,27,63.490449374638,Muscle Gain,4,47,4,3,6
104,151,31,37,55.25844329549531,Weight Gain,3,39,4,4,6
62,192,30,35,51.80823112228519,Muscle Gain,6,53,4,4,7
79,182,34,39,63.56767011272615,Muscle Gain,4,77,4,3,7
61,182,22,33,63.29931730155937,Muscle Gain,5,49,4,3,7
60,188,20,36,49.215628987093766,Weight Gain,3,47,3,4,8
87,186,22,38,55.49471275322864,Weight Loss,4,272,2,3,12
51,189,28,26,50.30992814858145,Weight Loss,5,291,3,3,15
104,186,28,39,59.78133951878745,Weight Gain,3,61,4,3,9
90,185,32,33,60.889616357070125,Muscle Gain,5,68,5,3,9
67,197,17,20,63.70969027054991,Weight Gain,5,62,4,3,6
105,161,33,33,53.97557607989229,Muscle Gain,5,31,5,4,11
58,175,29,27,56.55782225388177,Muscle Gain,5,38,4,4,8
84,161,18,31,53.223949777650915,Weight Gain,4,43,4,4,9
72,197,32,35,50.43266362548739,Weight Loss,5,289,3,2,12
71,170,10,39,50.758906853519846,Muscle Gain,5,81,5,4,11
55,198,20,35,49.35817416504027,Muscle Gain,6,53,5,3,9
72,152,17,37,56.211596180020976,Weight Loss,5,204,3,2,13
105,194,15,24,46.34468360181123,Weight Gain,4,60,4,3,7
61,188,22,27,50.927152270265765,Weight Loss,5,275,3,2,18
83,180,29,31,55.47172970442906,Weight Gain,4,55,3,3,6
103,191,30,34,61.413923215335586,Weight Gain,3,41,4,4,8
103,175,22,36,61.69181905190544,Weight Gain,4,22,3,4,7
64,176,22,36,50.515148088825626,Muscle Gain,5,26,4,4,7
75,196,14,39,49.9954432489304,Muscle Gain,5,82,5,4,6
63,162,16,31,47.32716970328992,Muscle Gain,4,64,4,4,8
68,169,13,22,53.06415512266504,Weight Loss,4,286,2,2,13
81,185,22,25,58.51645850208147,Weight Gain,4,39,3,4,9
77,165,13,32,49.40177353742773,Weight Loss,6,180,2,3,19
80,158,16,32,61.72996981236067,Muscle Gain,5,78,4,3,7
84,179,19,25,55.62588036701864,Weight Loss,4,203,3,2,17
79,155,33,33,47.15228369519718,Weight Loss,5,152,3,3,13
107,181,18,24,63.03166010574135,Weight Gain,4,20,4,3,8
53,166,18,38,51.9161219682085,Weight Gain,4,30,3,4,6
104,160,22,29,45.515391975287024,Muscle Gain,5,60,5,3,8
72,159,28,34,53.39697395372635,Muscle Gain,6,53,5,4,10
63,191,34,33,52.86207815118802,Muscle Gain,4,69,4,4,8
84,160,20,32,51.09204711548381,Weight Loss,5,274,3,3,15
67,160,25,36,45.19373765481936,Muscle Gain,4,89,5,4,11
92,196,24,35,58.95432615106586,Weight Loss,6,283,3,2,14
57,156,24,33,48.888952888633774,Weight Loss,5,185,2,2,16
70,157,14,35,48.864988304683365,Weight Gain,3,30,3,4,8
56,194,29,24,59.5505846045019,Muscle Gain,5,75,5,4,8
70,186,32,39,55.94829680759452,Weight Loss,5,206,3,3,17
103,185,22,38,58.94327384275961,Weight Loss,4,220,3,2,15
101,196,13,28,49.59987507926481,Muscle Gain,5,28,5,3,6
99,167,14,39,58.127717187695346,Muscle Gain,4,53,5,4,10
91,158,19,26,47.345602956008904,Weight Gain,4,58,4,3,6
80,181,11,39,53.92883843593097,Weight Gain,4,39,3,4,9
102,180,20,20,47.58348890486221,Weight Loss,6,226,3,2,13
82,160,10,34,49.206371125715876,Weight Gain,4,21,4,4,9
89,199,20,30,61.93774448857906,Muscle Gain,5,61,4,4,7
51,179,29,25,47.86790740021785,Weight Loss,5,190,3,2,16
96,186,31,35,49.24667948573783,Weight Loss,5,247,2,2,19
61,189,18,31,45.55687815154827,Weight Gain,4,43,4,4,8
100,185,33,21,58.2764894970545,Weight Gain,4,44,3,4,6
73,170,19,33,46.79753703472321,Weight Gain,4,28,4,4,7
85,194,13,33,60.69539363649976,Weight Loss,5,240,2,2,15
52,172,22,35,49.35782759253488,Weight Loss,6,292,3,2,16
56,195,24,31,63.48508549206232,Weight Gain,4,50,3,3,8
108,163,24,30,45.00061437690765,Muscle Gain,4,43,5,3,11
62,169,12,24,55.289226554797885,Weight Gain,3,38,3,4,7
109,176,34,27,46.89930550456753,Muscle Gain,6,45,4,3,11
84,169,23,22,61.24947642088343,Weight Gain,3,20,3,4,6
78,197,28,20,57.64792512931017,Muscle Gain,4,65,5,4,9
58,188,13,38,54.99917983929577,Weight Gain,3,41,3,4,6
96,194,31,30,48.924914334123315,Weight Gain,4,54,3,3,6
105,168,25,26,64.50946056628044,Muscle Gain,4,84,5,3,7
87,183,20,38,58.7862082420538,Weight Gain,4,49,3,4,9
89,157,29,34,52.29644940415597,Muscle Gain,4,36,4,4,7
61,192,28,24,45.41868235653467,Weight Loss,4,247,2,3,17
103,153,20,36,58.52210051628704,Weight Gain,3,54,4,3,8
77,192,24,38,46.53445653705771,Weight Gain,5,59,4,4,6
95,179,29,32,47.302923567904024,Weight Loss,4,260,3,2,18
107,187,32,29,59.609849549645986,Weight Loss,5,230,3,2,18
87,176,29,20,47.53648045100837,Weight Loss,5,146,2,3,14
50,156,27,28,46.97188460483873,Weight Loss,6,188,3,3,14
106,167,25,22,48.02891043870714,Muscle Gain,4,38,4,3,11
88,190,13,30,60.82819501013951,Weight Gain,5,27,4,3,8
107,175,32,32,52.882720935652564,Weight Gain,3,55,4,3,7
82,159,14,31,64.01065641908818,Muscle Gain,5,28,5,3,9
92,164,11,39,45.482203868173336,Weight Gain,4,20,3,3,7
107,182,21,30,61.526816219003734,Weight Gain,4,54,3,4,7
55,191,34,35,62.32584871964363,Muscle Gain,5,63,5,3,6
71,181,14,24,60.27384538700641,Muscle Gain,6,92,4,4,10
52,168,19,34,56.960182346574996,Muscle Gain,6,51,4,3,8
96,153,28,22,46.4231135775582,Muscle Gain,5,44,4,4,6
102,156,24,26,45.88131723140763,Weight Loss,5,262,2,3,12
65,195,17,36,46.54375060452936,Weight Loss,4,261,3,2,15
55,196,14,30,45.9394598219628,Weight Gain,4,41,4,4,8
105,176,24,28,53.308860011841794,Weight Loss,6,192,2,3,19
55,165,33,35,47.29507198827671,Weight Loss,5,181,3,3,13
51,159,32,32,54.50179745733536,Muscle Gain,6,76,4,4,6
68,184,16,33,64.23231614092332,Weight Loss,6,208,2,2,17
67,161,32,20,61.652235466522626,Muscle Gain,5,70,4,4,8
89,165,15,32,57.372205781878776,Weight Gain,4,38,4,4,8
57,193,32,27,47.551403491427415,Weight Loss,5,283,2,2,19
92,172,22,30,51.99708768361709,Muscle Gain,4,51,4,3,8
67,173,28,34,45.503981896421394,Weight Gain,3,41,3,4,8
106,180,30,27,57.202158440724695,Weight Loss,4,242,3,2,17
77,190,11,37,53.310281261241315,Muscle Gain,4,58,5,3,8
89,152,32,22,46.218038661989866,Muscle Gain,6,68,5,3,10
85,174,22,36,62.233297693982024,Muscle Gain,6,62,5,4,10
74,165,31,38,50.11487403096601,Weight Gain,4,59,4,4,9
83,174,22,25,56.793069903030954,Weight Gain,4,67,3,4,7
67,173,29,28,57.09678858725162,Muscle Gain,5,43,4,3,7
64,184,34,39,59.140305885451816,Weight Loss,5,230,3,2,13
53,191,22,29,49.16799147236663,Weight Loss,5,216,3,2,17
84,186,19,32,49.189115390190224,Weight Loss,5,195,3,3,19
56,151,31,26,64.53122046645808,Muscle Gain,5,46,4,4,7
104,180,34,37,51.57116299771597,Muscle Gain,4,70,5,3,10
77,191,32,25,52.33922814014401,Muscle Gain,6,48,5,4,10
96,165,33,28,52.404643713691534,Weight Loss,6,179,2,3,12
85,156,28,36,46.24862654555561,Muscle Gain,6,68,4,4,7
66,194,22,26,62.144618747395825,Weight Gain,5,39,4,4,7
78,174,32,36,58.38713968481497,Muscle Gain,6,80,5,4,9
87,163,28,35,51.57645235697218,Muscle Gain,5,84,5,3,9
58,194,10,27,58.55446482402641,Muscle Gain,4,37,5,3,8
87,156,21,28,61.411042785114375,Weight Gain,3,50,4,3,9
108,166,12,35,61.57417967636013,Muscle Gain,5,81,5,3,9
80,180,26,39,47.25180933058389,Weight Gain,4,37,4,3,8
99,185,32,27,58.903749324201314,Weight Gain,3,41,3,4,9
98,162,10,21,52.38272387618409,Weight Gain,4,43,4,4,7
63,157,31,21,46.467281349192056,Weight Gain,3,41,3,4,6
86,165,27,36,47.74723491937348,Weight Gain,3,20,4,3,8
66,188,34,24,50.19206567416957,Muscle Gain,4,57,5,3,10
58,192,13,21,48.356291912920575,Weight Gain,4,42,4,3,6
50,173,13,23,49.84349300694941,Muscle Gain,4,86,5,3,9
104,185,15,35,49.6527327677355,Weight Gain,4,45,4,3,6
98,186,20,26,61.30144201351614,Weight Loss,4,286,2,3,14
107,153,12,26,54.6646415175087,Weight Gain,3,52,4,4,7
95,198,29,37,46.947337875824424,Weight Loss,5,235,2,2,18
105,155,29,25,64.83778391894984,Weight Gain,4,35,4,3,8
79,178,31,30,63.10597998021031,Weight Loss,4,196,3,2,18
67,166,15,33,58.48035069767935,Muscle Gain,5,86,5,3,8
83,184,27,20,61.425003091194085,Weight Loss,5,219,2,2,14
93,189,25,20,61.72841845971279,Muscle Gain,4,82,4,3,9
93,164,11,33,64.05033579369197,Weight Gain,4,34,3,4,8
99,166,14,31,60.92881123046955,Weight Loss,5,273,3,2,16
68,167,15,32,48.71923015114835,Muscle Gain,6,32,4,3,9
64,185,22,24,47.8239812707437,Muscle Gain,6,67,5,3,11
63,178,12,34,57.57132801294566,Weight Loss,6,238,2,2,18
107,181,27,30,46.3807387382275,Weight Loss,5,162,3,3,17
56,175,11,23,56.03872722120933,Weight Loss,4,231,2,2,18
61,165,18,34,60.186217103004104,Weight Loss,6,281,2,3,13
64,174,32,20,62.073090978822236,Weight Loss,4,256,3,2,16
66,173,14,21,52.945429456809194,Weight Gain,4,35,4,3,6
97,179,17,30,49.80438866416771,Weight Gain,3,55,4,4,6
91,197,29,24,56.987459857439724,Weight Loss,4,172,2,2,18
105,196,20,31,45.992118166989655,Muscle Gain,4,53,5,3,8
75,174,23,36,53.897048656550815,Weight Loss,4,192,2,2,15
98,152,20,36,61.96943548812529,Muscle Gain,6,84,5,3,11
95,185,25,20,46.02526918351997,Weight Gain,4,31,4,4,9
77,155,25,39,48.72839609707949,Weight Loss,6,182,3,3,17
75,194,29,22,64.34542380740595,Weight Loss,5,152,3,3,17
75,193,10,32,57.36581597509576,Weight Gain,4,44,3,4,9
58,172,24,32,58.266214190080035,Weight Gain,4,20,4,4,8
104,161,17,21,62.11102246871745,Weight Gain,4,33,4,4,6
62,185,31,37,51.55685675771637,Muscle Gain,5,68,4,3,8
76,192,14,35,52.121861703328435,Weight Loss,4,286,3,2,13
58,164,12,25,49.23491724104839,Weight Loss,5,290,2,2,17
104,163,32,33,58.9238490060218,Weight Gain,4,59,3,4,7
52,180,28,20,56.28833175559495,Weight Gain,3,46,4,3,7
67,154,28,21,47.42829811009944,Weight Gain,5,26,4,3,8
58,151,17,30,47.727406549351315,Weight Gain,3,38,4,4,9
61,163,25,37,50.53508263902617,Weight Loss,6,195,3,2,15
58,150,15,25,45.73425886966133,Weight Gain,4,35,3,4,7
100,199,15,38,46.70806060325443,Weight Loss,6,209,2,2,17
108,167,33,39,61.74945039237549,Weight Gain,3,28,4,3,9
75,174,20,21,53.046140827647434,Weight Gain,3,39,3,4,8
67,196,10,24,45.798450651275026,Muscle Gain,4,76,4,4,7
79,193,30,29,53.084832842140784,Weight Loss,4,170,3,2,15
67,186,28,35,51.3607922338904,Weight Gain,3,29,4,3,9
68,178,12,27,56.18436263536916,Weight Gain,3,33,4,3,9
86,171,21,21,45.2110224490038,Muscle Gain,5,59,5,4,11
86,162,14,30,62.98497836578405,Weight Loss,5,255,3,2,13
89,177,12,34,48.68089544100427,Weight Loss,5,208,3,2,15
72,178,30,35,50.05060779272889,Weight Loss,5,265,3,3,16
89,165,30,29,45.68862617146629,Weight Gain,3,61,4,3,9
103,177,33,22,47.67391308798872,Weight Gain,4,35,3,4,6
60,191,15,23,57.570043404724075,Muscle Gain,5,70,5,3,8
106,164,15,34,46.27589112507196,Muscle Gain,6,87,5,4,11
65,189,13,31,49.78029069331887,Weight Loss,5,150,2,2,13
106,183,18,33,52.87510283130813,Weight Loss,4,168,3,3,15
91,150,16,36,52.99966036587137,Muscle Gain,6,70,5,4,11
87,172,31,23,59.0219517472854,Weight Loss,6,283,2,3,19
80,196,17,35,53.41473125137234,Weight Gain,3,47,3,4,7
62,164,13,35,54.50216729863671,Weight Gain,4,29,4,3,7
104,198,21,23,62.5549880972525,Muscle Gain,6,57,5,3,9
86,170,24,36,54.38813683978516,Weight Loss,5,196,3,3,17
93,156,34,31,46.506028671969396,Muscle Gain,5,29,4,3,7
62,188,14,29,50.09497414673437,Muscle Gain,5,76,4,4,6
63,170,30,36,45.43693423972404,Weight Loss,5,211,2,3,16
68,185,27,20,47.238691562695784,Weight Loss,5,187,2,3,13
106,150,16,35,64.24116997882703,Muscle Gain,5,56,5,4,6
96,155,34,38,53.09937174752377,Weight Loss,4,277,3,2,14
52,174,22,25,46.278018840967476,Weight Loss,5,263,2,3,14
98,172,18,36,57.50432250062876,Muscle Gain,4,94,4,4,7
58,166,24,21,53.99887348537719,Muscle Gain,4,30,4,4,10
66,188,13,27,48.383237876848405,Weight Gain,3,22,4,4,9
53,173,23,24,55.30334056773178,Weight Loss,5,153,3,2,17
72,166,10,34,45.57888633486734,Weight Loss,4,182,2,2,15
94,150,19,34,47.87089511887536,Weight Gain,4,48,4,4,7
108,188,26,37,62.35959253461806,Weight Gain,3,51,3,4,7
108,158,23,27,64.33468455070216,Muscle Gain,6,43,5,4,11
74,177,21,21,55.521880265030845,Weight Gain,3,35,4,4,6
64,173,34,20,59.945951151197136,Muscle Gain,5,66,4,4,7
109,161,16,37,60.5873034067024,Muscle Gain,6,71,5,3,9
80,188,32,21,46.28189422072351,Weight Gain,3,60,4,3,7
86,199,12,22,47.67556289987936,Weight Gain,3,20,3,4,6
62,151,13,29,50.794559674764294,Weight Loss,5,281,2,2,19
76,162,28,25,64.5291305887082,Muscle Gain,4,24,5,3,10
80,193,34,27,46.82975036774918,Weight Gain,4,24,3,4,6
66,190,11,32,53.18365174916977,Muscle Gain,5,47,5,3,8
84,161,33,24,58.85840458449577,Muscle Gain,4,69,4,3,10
82,189,31,35,56.3859586826959,Muscle Gain,4,81,4,4,8
102,159,19,39,55.37495694229419,Muscle Gain,4,72,4,3,7
81,169,34,21,50.16215286346829,Weight Loss,5,191,2,2,14
55,187,11,39,47.279317742384826,Weight Loss,4,228,2,2,15
96,154,16,37,57.77926043946569,Weight Loss,5,218,3,2,13
93,167,32,20,47.064332977579994,Weight Gain,3,51,4,4,7
65,154,32,26,61.56371738646906,Weight Loss,4,239,3,2,14
91,196,30,25,52.73392899974924,Weight Gain,4,42,4,4,9
58,178,31,38,53.7351563569415,Weight Gain,3,48,4,3,6
76,182,30,26,64.48878621276951,Weight Gain,4,36,4,3,8
84,184,16,20,63.23637139078894,Weight Gain,4,23,3,3,7
59,154,18,21,54.272441486869,Weight Gain,3,56,4,4,9
96,155,25,36,64.62089724508931,Weight Loss,5,236,3,2,15
54,164,25,20,45.23835965956484,Muscle Gain,5,67,4,3,8
103,176,15,25,61.77678673530541,Muscle Gain,5,34,4,3,11
100,170,33,39,55.280467397530195,Weight Gain,3,47,4,3,8
78,165,13,39,48.788868663348055,Weight Loss,5,225,2,2,19
87,177,25,25,49.057064774557304,Weight Loss,4,230,2,2,14
98,192,17,24,62.86227482644945,Weight Gain,4,44,4,4,7
102,176,10,29,55.25670724870284,Weight Loss,5,269,2,3,16
102,151,27,21,46.12427810919757,Weight Loss,5,242,3,3,15
66,150,30,39,64.07873505052817,Weight Loss,4,153,3,2,14
94,175,22,20,45.29294254544973,Weight Gain,4,49,4,4,9
100,164,25,34,58.66858830314541,Muscle Gain,5,38,5,3,9
84,162,19,30,50.844979134787756,Muscle Gain,5,63,5,3,8
61,156,26,20,47.069501272931696,Muscle Gain,5,63,4,3,9
81,177,22,20,54.38119488780238,Muscle Gain,6,64,5,4,6
107,168,10,24,47.8276710843268,Weight Gain,4,63,3,4,9
99,165,18,37,55.74551347336076,Weight Loss,6,283,3,2,18
65,180,28,28,53.49566683048373,Weight Loss,4,141,3,3,17
84,188,24,38,60.971116762611985,Muscle Gain,4,44,4,3,7
63,161,12,24,60.24259240900649,Weight Gain,4,28,3,3,6
58,198,10,23,46.34569225843029,Weight Loss,5,182,2,3,17
55,191,24,23,57.53506697084663,Weight Loss,4,223,3,2,14
87,194,19,37,63.25210053766221,Weight Gain,5,47,3,4,6
82,177,29,24,46.679251268934536,Weight Gain,4,22,4,3,8
91,181,10,22,47.003099950135336,Weight Loss,4,171,2,3,13
95,153,34,38,48.3307702699454,Muscle Gain,4,50,4,4,10
93,180,21,34,63.57526842410985,Weight Gain,3,24,4,4,9
74,183,14,26,47.55623688720765,Weight Gain,3,20,3,3,7
92,198,19,31,53.2188510470022,Weight Gain,3,51,4,4,7
89,195,21,37,51.90529104114106,Weight Loss,6,177,3,3,12
100,169,17,38,53.135474971440104,Muscle Gain,5,45,4,3,8
99,191,16,28,47.9103460077485,Weight Loss,5,247,2,3,18
57,154,19,24,56.56436762446579,Weight Loss,6,152,3,2,14
92,167,27,35,59.04165133768993,Weight Loss,5,274,2,3,17
91,173,27,28,54.84734097402498,Weight Gain,3,43,4,4,7
75,188,21,22,57.74171777709431,Muscle Gain,4,79,4,4,7
70,190,19,28,48.2913211685867,Weight Gain,3,24,4,3,7
87,152,19,25,52.17511524042548,Weight Loss,4,208,3,2,12
60,179,13,24,64.45688317320045,Muscle Gain,4,41,5,3,6
94,165,25,22,55.66616724917482,Muscle Gain,4,91,5,3,8
109,180,19,28,45.39302965493695,Weight Gain,4,42,4,3,7
87,180,28,27,47.93216600720007,Muscle Gain,5,35,5,3,6
103,175,27,28,57.474874521751914,Weight Loss,5,209,2,2,13
104,193,13,32,58.4469653528573,Muscle Gain,6,88,5,3,9
51,195,31,24,50.78300668908302,Muscle Gain,5,54,4,3,7
88,179,23,24,64.65720235710842,Muscle Gain,5,44,4,4,6
51,188,14,24,64.06632744401921,Weight Loss,4,160,2,2,17
106,181,15,28,47.987632724528645,Weight Loss,4,208,2,2,14
84,161,14,21,57.536658088301344,Weight Loss,5,274,3,2,15
73,189,31,20,47.64941312683853,Weight Gain,4,37,4,4,9
91,188,34,33,63.35089789192689,Weight Gain,4,30,4,4,8
109,181,27,34,49.673808976507274,Muscle Gain,4,57,5,3,7
67,156,13,24,47.54220981734048,Muscle Gain,5,59,5,3,10
98,182,34,36,54.490887003171125,Muscle Gain,4,95,5,3,9
102,188,33,32,61.109325660811734,Weight Gain,4,42,3,4,7
81,166,28,25,60.879101694311814,Weight Loss,5,233,2,3,13
76,165,26,35,58.791661310664594,Muscle Gain,6,51,5,4,9
70,199,20,23,50.56224335107607,Weight Loss,5,171,3,2,13
52,169,15,26,51.77465911548863,Weight Loss,4,197,3,2,18
107,156,23,29,50.350540604966845,Weight Gain,4,64,4,4,9
67,195,27,24,59.04797442161197,Muscle Gain,5,45,5,4,7
79,177,12,30,64.98921362119347,Muscle Gain,5,85,4,4,11
61,164,20,24,49.01425685827584,Weight Loss,6,265,3,3,13
53,171,27,25,57.74804962418443,Weight Gain,4,27,4,4,7
78,160,14,37,48.362361951954504,Weight Gain,5,30,3,3,8
61,152,30,26,46.258149520360476,Muscle Gain,5,62,4,4,8
97,171,30,39,51.023511739947175,Weight Gain,3,29,3,4,9
58,184,14,37,46.05651787817205,Muscle Gain,4,49,4,3,7
52,161,13,31,48.95380606228975,Weight Gain,4,45,3,3,9
93,179,26,33,52.20199261564227,Weight Gain,3,28,4,3,9
89,196,24,30,57.77345272240811,Weight Loss,6,184,3,2,14
60,171,19,22,60.345583550312604,Weight Gain,4,39,4,4,9
102,157,13,23,60.45680166853007,Weight Loss,6,173,3,2,18
83,156,17,26,52.33443817187598,Muscle Gain,5,89,5,4,9
93,197,34,26,54.8656165467712,Weight Loss,4,266,2,2,13
68,197,20,27,62.33642971376978,Muscle Gain,5,34,5,4,7
97,167,18,35,48.75054445824333,Weight Loss,6,231,3,2,14
65,176,17,29,53.00659736821517,Muscle Gain,4,62,4,3,11
59,168,31,22,48.811520930343875,Weight Gain,4,20,4,4,7
93,178,11,28,58.28847573185356,Weight Loss,5,245,3,3,12
93,189,22,38,55.17770510348491,Weight Loss,4,188,3,3,19
57,191,11,28,47.85571273335769,Muscle Gain,5,28,4,3,11
109,195,33,21,51.23024598027972,Muscle Gain,5,40,4,3,8
87,157,31,24,52.523809375392446,Weight Gain,4,38,4,3,6
95,165,18,20,63.6682625404691,Weight Loss,4,293,3,2,16
105,162,10,39,52.18847653661634,Weight Gain,5,29,3,3,6
61,159,34,36,45.75132459087961,Muscle Gain,5,86,5,3,10
88,189,10,23,63.00624479148982,Muscle Gain,5,74,4,4,8
101,165,16,30,58.95728790704288,Weight Gain,4,54,4,3,9
91,197,17,28,54.16409610504432,Weight Loss,4,259,3,2,19
62,180,27,34,48.28540898911856,Muscle Gain,4,46,5,4,10
81,197,23,32,59.36203475912045,Weight Loss,4,271,2,3,16
74,184,24,26,59.65754905767797,Muscle Gain,5,71,4,3,7
66,176,10,33,47.81014606217187,Weight Gain,4,52,4,4,8
108,178,27,39,64.2043614476565,Muscle Gain,5,83,5,4,11
85,175,21,31,48.79038086474753,Muscle Gain,4,64,5,4,9
67,164,15,31,54.305550625518464,Muscle Gain,5,61,5,4,6
67,165,17,39,59.42898314219144,Muscle Gain,5,94,4,4,10
54,172,18,35,59.158818314799895,Weight Gain,4,23,3,4,8
86,199,11,30,57.44751862946348,Weight Loss,4,268,3,3,13
107,198,31,33,57.01213258374365,Weight Gain,3,28,3,4,9
93,193,26,29,54.73502096704631,Weight Gain,3,39,3,4,8
72,181,19,30,57.95039591140326,Muscle Gain,4,73,5,4,10
89,161,30,27,56.849869583528104,Weight Gain,3,47,3,4,9
97,192,16,36,50.5390923624922,Weight Loss,5,213,3,2,12
70,186,29,26,49.43558983867093,Weight Loss,4,243,2,2,18
58,161,12,23,60.42946689719213,Weight Loss,5,177,2,3,16
82,161,11,26,46.81753076739297,Weight Loss,6,290,2,3,18
83,188,13,30,54.433975337824194,Weight Loss,6,222,2,2,16
87,157,22,24,56.0924098242229,Weight Gain,4,39,4,3,7
68,155,20,30,54.19883902587925,Muscle Gain,5,83,5,3,6
58,174,10,20,55.05566883693361,Weight Gain,4,41,3,3,6
69,150,29,22,60.22011965899111,Weight Gain,3,39,3,3,7
86,175,30,36,51.47049227474076,Weight Loss,5,244,2,3,15
70,162,31,24,51.82298651639366,Weight Gain,3,61,4,3,7
65,195,25,39,52.52458756722382,Muscle Gain,4,55,4,4,11
71,195,26,32,45.98296780690354,Weight Gain,4,50,3,4,7
100,198,12,35,63.18125085793463,Weight Loss,4,303,3,2,16
60,183,19,29,47.58130249658126,Weight Gain,5,45,4,3,8
86,155,10,25,55.608484406544854,Weight Loss,6,279,2,3,19
87,155,31,22,55.816541279430794,Weight Gain,4,38,4,3,9
88,156,20,23,47.76795171936249,Weight Loss,4,293,2,3,19
59,151,15,34,60.88269123464545,Muscle Gain,6,34,5,3,8
101,177,19,25,58.71425537649362,Weight Gain,4,20,3,4,7
89,169,11,30,50.023840092089344,Weight Gain,4,32,3,3,7
51,170,29,23,51.640014042353585,Weight Gain,4,40,3,4,7
85,154,20,32,57.149435078171386,Weight Loss,5,165,3,3,17
98,160,28,22,51.18737124160026,Weight Loss,4,203,2,3,15
52,159,19,33,53.30522875145641,Weight Gain,4,59,4,4,9
50,191,11,36,56.42425835503035,Muscle Gain,4,84,4,3,11
98,150,18,39,55.901668257197805,Weight Loss,5,287,2,3,17
91,192,16,28,48.079264773330074,Weight Gain,3,34,4,3,9
86,188,28,24,45.70313984097003,Weight Gain,4,31,3,3,6
69,167,20,29,51.891931914539434,Weight Loss,5,217,2,2,13
97,182,28,28,56.40374431599609,Weight Loss,4,272,3,2,13
109,196,24,22,53.15788473560381,Weight Loss,6,300,3,2,18
74,176,18,25,56.446303712601534,Muscle Gain,5,84,4,3,6
86,180,11,28,55.88059930589151,Weight Gain,4,48,4,3,8
97,170,13,35,48.29461792162123,Muscle Gain,6,74,5,3,10
59,191,16,37,53.52244741944971,Weight Loss,4,162,3,3,16
83,195,25,20,56.010906012399914,Weight Loss,5,238,2,2,12
64,198,32,35,48.75851915747591,Weight Loss,4,239,2,3,14
108,180,26,34,64.15824151431296,Weight Loss,4,214,3,2,17
60,169,25,28,55.17367901368158,Weight Loss,6,247,3,3,12
71,172,21,29,63.64258199561306,Weight Gain,4,32,4,4,7
81,191,25,31,64.24391752555982,Weight Gain,3,37,3,4,9
54,199,28,34,47.121835592258186,Muscle Gain,4,79,5,4,10
59,183,18,33,48.872476195909215,Weight Gain,3,20,3,3,7
75,196,25,26,63.16820214537139,Weight Loss,4,216,2,2,14
60,156,33,38,61.29130424227006,Weight Gain,3,46,3,3,6
51,165,18,32,55.06145200543218,Weight Loss,5,232,3,3,13
97,151,15,27,59.0835111238938,Weight Loss,4,222,2,3,14
96,160,23,25,47.12557023141072,Weight Loss,5,231,2,2,14
69,196,23,21,54.66804473046008,Muscle Gain,5,77,5,4,7
57,177,17,22,50.25020580966331,Muscle Gain,6,44,5,3,11
79,170,21,24,46.164350241506796,Muscle Gain,5,77,5,3,9
89,187,24,31,62.32046381361249,Muscle Gain,5,83,5,4,9
58,153,21,28,58.961410928068034,Weight Gain,5,40,3,4,7
98,162,22,21,54.95897185164527,Weight Gain,4,20,3,4,6
66,173,22,34,45.40243443706148,Weight Gain,4,52,3,4,9
69,165,23,35,53.27289129455398,Weight Loss,4,199,2,3,12
64,167,32,33,63.05658614071929,Weight Loss,5,167,3,3,17
105,193,20,39,60.42486148066356,Weight Loss,4,218,3,3,12
58,183,34,24,53.58895794157405,Weight Loss,5,169,3,3,16
50,171,12,25,48.192655135468804,Weight Gain,4,41,3,4,6
50,176,34,30,61.624916101798846,Muscle Gain,5,80,5,3,8
104,161,29,24,50.00965893499527,Weight Gain,4,63,4,4,8
58,162,28,39,49.56331827501812,Weight Loss,6,202,2,2,19
64,192,21,33,57.33769511930363,Muscle Gain,5,68,5,4,9
94,193,20,31,63.33922226204977,Weight Gain,4,56,3,4,6
58,199,34,22,59.590428439528765,Weight Loss,5,144,2,2,14
90,184,28,28,54.808981934719,Weight Gain,4,57,4,4,7
64,175,24,31,53.73163443483649,Weight Loss,5,251,2,2,14
76,159,12,36,45.268189077442464,Muscle Gain,5,33,4,3,7
53,181,10,36,56.42186324869029,Muscle Gain,4,69,5,3,10
73,194,33,30,57.37170298144231,Muscle Gain,5,76,4,4,6
80,193,19,24,61.71143410181297,Weight Gain,3,60,3,3,7
93,159,31,39,51.254822323768,Muscle Gain,6,64,5,4,10
104,152,27,30,48.82554742074794,Weight Loss,6,224,3,2,12
77,172,22,27,55.680722264093134,Muscle Gain,5,62,5,3,11
