weight,height,body_fat,muscle_mass,water_perc,bmr,goal,calories,protein,carbs,fat
58,151,24,37,26.22,2103,Weight Gain,2603,162.69,325.38,72.31
53,163,18,28,34.02,1418,Weight Gain,1918,119.88,239.75,53.28
99,159,30,23,50.35,1787,Weight Gain,2287,142.94,285.88,63.53
103,162,30,35,63.07,2191,Weight Gain,2691,168.19,336.38,74.75
60,159,24,36,38.14,1482,Weight Loss,982,98.2,73.65,32.73
74,189,23,37,47.26,1713,Weight Loss,1213,121.3,90.97,40.43
93,181,28,33,42.09,1421,Weight Gain,1921,120.06,240.12,53.36
104,188,26,31,65.91,1829,Weight Loss,1329,132.9,99.67,44.3
62,170,17,33,36.93,1946,Muscle Gain,2246,196.52,252.68,49.91
93,181,20,30,46.86,2159,Weight Loss,1659,165.9,124.42,55.3
62,167,11,34,29.04,1861,Muscle Gain,2161,189.09,243.11,48.02
64,172,33,31,38.18,1982,Weight Loss,1482,148.2,111.15,49.4
82,152,31,38,39.39,1329,Muscle Gain,1629,142.54,183.26,36.2
93,196,34,24,44.83,1661,Weight Gain,2161,135.06,270.12,60.03
65,157,10,31,38.69,1748,Muscle Gain,2048,179.2,230.4,45.51
81,191,11,30,41.49,1704,Weight Gain,2204,137.75,275.5,61.22
88,176,11,28,46.2,1692,Weight Gain,2192,137.0,274.0,60.89
91,175,31,31,54.52,1313,Weight Loss,813,81.3,60.97,27.1
83,169,20,35,39.82,1369,Muscle Gain,1669,146.04,187.76,37.09
86,153,24,23,51.12,1835,Weight Gain,2335,145.94,291.88,64.86
84,175,14,25,44.73,2170,Weight Loss,1670,167.0,125.25,55.67
59,187,23,23,28.69,1319,Weight Loss,819,81.9,61.42,27.3
104,156,13,33,61.85,2040,Weight Gain,2540,158.75,317.5,70.56
104,153,33,21,59.27,1458,Muscle Gain,1758,153.82,197.78,39.07
98,195,28,32,58.72,1613,Weight Gain,2113,132.06,264.12,58.69
102,180,13,38,54.88,2039,Weight Gain,2539,158.69,317.38,70.53
104,198,32,20,48.64,1927,Weight Loss,1427,142.7,107.02,47.57
108,177,24,30,64.45,1417,Weight Loss,917,91.7,68.77,30.57
82,166,15,23,45.04,1346,Muscle Gain,1646,144.02,185.18,36.58
64,155,24,33,38.36,2170,Weight Loss,1670,167.0,125.25,55.67
75,165,14,39,39.18,1349,Muscle Gain,1649,144.29,185.51,36.64
62,192,26,32,36.55,2176,Muscle Gain,2476,216.65,278.55,55.02
102,168,19,22,54.66,1880,Weight Loss,1380,138.0,103.5,46.0
86,169,26,29,54.82,1655,Weight Gain,2155,134.69,269.38,59.86
75,153,16,26,41.2,1940,Weight Loss,1440,144.0,108.0,48.0
85,155,18,33,48.62,1487,Weight Loss,987,98.7,74.02,32.9
80,169,33,23,36.21,1707,Weight Gain,2207,137.94,275.88,61.31
79,171,16,22,39.9,1569,Weight Gain,2069,129.31,258.62,57.47
65,165,31,29,40.23,1881,Weight Loss,1381,138.1,103.58,46.03
94,185,33,30,43.48,1549,Muscle Gain,1849,161.79,208.01,41.09
106,170,13,37,56.42,1818,Weight Gain,2318,144.88,289.75,64.39
64,167,33,30,41.13,1954,Muscle Gain,2254,197.22,253.58,50.09
70,191,21,33,41.73,1613,Weight Loss,1113,111.3,83.47,37.1
67,154,12,24,37.73,1670,Weight Loss,1170,117.0,87.75,39.0
70,161,34,28,31.81,1928,Muscle Gain,2228,194.95,250.65,49.51
91,156,31,20,50.48,1872,Weight Loss,1372,137.2,102.9,45.73
83,177,20,28,50.49,1476,Weight Loss,976,97.6,73.2,32.53
83,155,23,25,51.41,2141,Weight Loss,1641,164.1,123.07,54.7
54,151,31,35,26.63,2141,Weight Gain,2641,165.06,330.12,73.36
65,197,28,26,36.34,1643,Muscle Gain,1943,170.01,218.59,43.18
89,187,19,22,40.97,2130,Weight Loss,1630,163.0,122.25,54.33
81,156,30,39,45.28,1367,Weight Gain,1867,116.69,233.38,51.86
101,171,24,27,63.18,2025,Weight Gain,2525,157.81,315.62,70.14
76,190,17,36,34.61,2059,Weight Gain,2559,159.94,319.88,71.08
52,157,21,20,27.46,1526,Weight Gain,2026,126.62,253.25,56.28
88,172,34,37,41.24,2008,Muscle Gain,2308,201.95,259.65,51.29
60,161,19,27,30.45,1775,Weight Loss,1275,127.5,95.62,42.5
85,186,30,27,51.81,1858,Muscle Gain,2158,188.82,242.78,47.96
97,195,17,37,46.71,1767,Weight Gain,2267,141.69,283.38,62.97
61,151,16,35,37.91,1558,Muscle Gain,1858,162.57,209.03,41.29
99,192,17,25,47.34,1428,Muscle Gain,1728,151.2,194.4,38.4
57,186,25,30,29.22,1665,Weight Gain,2165,135.31,270.62,60.14
68,181,18,31,40.66,2186,Weight Loss,1686,168.6,126.45,56.2
94,170,22,21,45.42,1401,Weight Gain,1901,118.81,237.62,52.81
80,176,14,22,44.44,2092,Weight Gain,2592,162.0,324.0,72.0
75,154,12,28,46.04,1733,Weight Gain,2233,139.56,279.12,62.03
68,193,34,30,42.86,1663,Weight Loss,1163,116.3,87.22,38.77
70,173,11,22,43.82,2097,Weight Gain,2597,162.31,324.62,72.14
97,170,33,20,48.3,1991,Weight Gain,2491,155.69,311.38,69.19
90,196,27,30,52.22,1475,Weight Gain,1975,123.44,246.88,54.86
66,154,21,30,40.84,2158,Muscle Gain,2458,215.07,276.53,54.62
82,169,25,21,42.23,1547,Muscle Gain,1847,161.61,207.79,41.04
88,155,18,39,43.6,2058,Muscle Gain,2358,206.32,265.28,52.4
52,153,34,34,26.58,1490,Weight Loss,990,99.0,74.25,33.0
84,195,29,33,52.98,1700,Muscle Gain,2000,175.0,225.0,44.44
58,184,22,34,29.12,2036,Weight Gain,2536,158.5,317.0,70.44
108,176,32,21,58.26,1849,Weight Gain,2349,146.81,293.62,65.25
85,157,12,38,54.86,2145,Muscle Gain,2445,213.94,275.06,54.33
69,198,34,27,41.26,1453,Weight Gain,1953,122.06,244.12,54.25
72,171,25,38,46.41,2198,Weight Gain,2698,168.62,337.25,74.94
68,158,29,32,43.69,1362,Weight Loss,862,86.2,64.65,28.73
108,168,24,39,51.03,1736,Weight Loss,1236,123.6,92.7,41.2
85,189,26,28,38.46,1675,Weight Loss,1175,117.5,88.12,39.17
63,160,30,22,31.2,1633,Weight Gain,2133,133.31,266.62,59.25
90,153,13,27,56.29,1936,Weight Gain,2436,152.25,304.5,67.67
71,190,33,35,35.35,2180,Weight Gain,2680,167.5,335.0,74.44
61,184,20,33,37.89,2066,Weight Loss,1566,156.6,117.45,52.2
54,197,29,24,30.77,1500,Weight Loss,1000,100.0,75.0,33.33
58,153,12,36,26.85,1779,Weight Loss,1279,127.9,95.92,42.63
57,194,32,34,26.59,1737,Weight Gain,2237,139.81,279.62,62.14
96,164,18,38,60.34,1904,Weight Gain,2404,150.25,300.5,66.78
89,170,28,25,50.58,1968,Muscle Gain,2268,198.45,255.15,50.4
53,156,13,31,29.02,2153,Weight Gain,2653,165.81,331.62,73.69
73,183,32,28,40.24,1386,Weight Gain,1886,117.88,235.75,52.39
55,171,34,37,28.73,2079,Weight Gain,2579,161.19,322.38,71.64
75,176,17,38,37.9,1748,Weight Loss,1248,124.8,93.6,41.6
78,194,26,22,38.16,1590,Weight Loss,1090,109.0,81.75,36.33
69,198,22,25,42.84,2180,Weight Gain,2680,167.5,335.0,74.44
57,192,29,20,29.51,1640,Weight Loss,1140,114.0,85.5,38.0
98,191,20,28,51.88,1848,Weight Loss,1348,134.8,101.1,44.93
90,166,33,38,56.34,1482,Weight Loss,982,98.2,73.65,32.73
88,162,20,33,57.07,1632,Muscle Gain,1932,169.05,217.35,42.93
95,194,10,27,50.76,1631,Weight Loss,1131,113.1,84.83,37.7
102,194,21,35,51.95,1901,Muscle Gain,2201,192.59,247.61,48.91
77,154,17,33,35.44,1730,Muscle Gain,2030,177.62,228.38,45.11
98,196,29,37,49.13,1623,Weight Gain,2123,132.69,265.38,58.97
82,185,27,24,38.88,1711,Weight Loss,1211,121.1,90.83,40.37
82,161,28,34,49.2,2069,Muscle Gain,2369,207.29,266.51,52.64
78,190,19,21,48.95,1565,Weight Gain,2065,129.06,258.12,57.36
67,158,34,26,41.86,1383,Weight Gain,1883,117.69,235.38,52.31
76,151,15,22,42.32,1595,Weight Gain,2095,130.94,261.88,58.19
66,190,21,22,35.62,1610,Weight Loss,1110,111.0,83.25,37.0
64,175,14,36,31.57,1578,Weight Loss,1078,107.8,80.85,35.93
87,177,30,30,46.63,1910,Weight Loss,1410,141.0,105.75,47.0
104,158,30,25,63.21,1487,Weight Gain,1987,124.19,248.38,55.19
81,152,12,31,51.3,1362,Muscle Gain,1662,145.42,186.97,36.93
89,160,25,23,47.04,1978,Weight Gain,2478,154.88,309.75,68.83
105,177,14,26,50.24,1867,Weight Loss,1367,136.7,102.52,45.57
50,196,29,38,22.75,1743,Weight Gain,2243,140.19,280.38,62.31
77,184,20,34,35.75,1425,Muscle Gain,1725,150.94,194.06,38.33
98,198,15,24,54.51,1987,Weight Gain,2487,155.44,310.88,69.08
50,180,13,36,23.91,2136,Weight Gain,2636,164.75,329.5,73.22
105,173,12,30,50.1,1965,Muscle Gain,2265,198.19,254.81,50.33
95,192,19,38,43.19,2126,Weight Loss,1626,162.6,121.95,54.2
64,179,19,24,39.49,1848,Weight Gain,2348,146.75,293.5,65.22
109,186,12,25,62.19,1500,Weight Loss,1000,100.0,75.0,33.33
78,162,24,39,35.58,2035,Weight Gain,2535,158.44,316.88,70.42
53,154,14,28,29.72,1973,Weight Loss,1473,147.3,110.47,49.1
71,172,28,22,36.24,1715,Weight Loss,1215,121.5,91.12,40.5
100,198,30,33,58.55,1832,Muscle Gain,2132,186.55,239.85,47.38
88,153,28,20,49.82,1579,Weight Loss,1079,107.9,80.92,35.97
84,162,24,21,46.01,1734,Weight Loss,1234,123.4,92.55,41.13
66,184,27,27,34.0,1963,Weight Gain,2463,153.94,307.88,68.42
68,186,16,27,31.14,1956,Weight Loss,1456,145.6,109.2,48.53
85,168,30,21,50.53,1984,Muscle Gain,2284,199.85,256.95,50.76
61,170,31,30,34.15,1816,Weight Loss,1316,131.6,98.7,43.87
105,169,18,33,47.97,1881,Weight Loss,1381,138.1,103.58,46.03
100,168,25,31,54.67,2163,Weight Gain,2663,166.44,332.88,73.97
104,185,15,30,51.03,1515,Muscle Gain,1815,158.81,204.19,40.33
64,176,20,38,36.19,1990,Weight Loss,1490,149.0,111.75,49.67
63,176,27,38,35.94,2050,Muscle Gain,2350,205.62,264.38,52.22
94,184,25,28,43.42,2148,Weight Loss,1648,164.8,123.6,54.93
98,182,17,38,50.21,1622,Muscle Gain,1922,168.17,216.22,42.71
54,162,24,33,26.68,2019,Weight Gain,2519,157.44,314.88,69.97
81,171,31,30,50.58,2109,Weight Gain,2609,163.06,326.12,72.47
70,165,21,21,36.17,1846,Weight Gain,2346,146.62,293.25,65.17
106,179,24,22,68.85,1563,Weight Gain,2063,128.94,257.88,57.31
98,189,16,26,44.97,1591,Weight Loss,1091,109.1,81.83,36.37
86,150,24,24,38.8,1947,Weight Loss,1447,144.7,108.52,48.23
109,158,10,23,64.31,2002,Muscle Gain,2302,201.42,258.98,51.16
58,183,23,33,30.83,1713,Muscle Gain,2013,176.14,226.46,44.73
87,160,12,27,41.08,1487,Weight Loss,987,98.7,74.02,32.9
94,181,11,32,60.26,1422,Weight Gain,1922,120.12,240.25,53.39
65,151,17,36,35.76,2045,Weight Gain,2545,159.06,318.12,70.69
109,151,11,32,63.59,1807,Weight Gain,2307,144.19,288.38,64.08
88,152,17,33,42.28,1866,Muscle Gain,2166,189.52,243.68,48.13
103,178,16,26,51.01,1532,Weight Gain,2032,127.0,254.0,56.44
102,162,30,38,53.2,1612,Weight Loss,1112,111.2,83.4,37.07
71,180,26,29,40.27,1755,Weight Gain,2255,140.94,281.88,62.64
101,169,27,33,54.81,2177,Weight Loss,1677,167.7,125.77,55.9
73,164,31,23,34.94,1770,Weight Gain,2270,141.88,283.75,63.06
61,180,23,21,29.08,1653,Muscle Gain,1953,170.89,219.71,43.4
60,190,21,36,30.81,1540,Weight Gain,2040,127.5,255.0,56.67
78,175,27,25,49.07,1387,Weight Gain,1887,117.94,235.88,52.42
57,190,15,24,36.37,2131,Weight Loss,1631,163.1,122.32,54.37
77,160,34,20,36.65,1436,Muscle Gain,1736,151.9,195.3,38.58
83,193,13,23,52.41,2118,Weight Loss,1618,161.8,121.35,53.93
68,198,15,35,43.33,1990,Weight Loss,1490,149.0,111.75,49.67
66,172,10,29,31.54,2024,Weight Loss,1524,152.4,114.3,50.8
92,162,14,20,46.52,1822,Weight Loss,1322,132.2,99.15,44.07
53,196,34,28,24.97,2022,Weight Loss,1522,152.2,114.15,50.73
91,166,14,35,47.96,1852,Muscle Gain,2152,188.3,242.1,47.82
96,197,27,33,58.0,2172,Muscle Gain,2472,216.3,278.1,54.93
90,162,27,24,55.3,1330,Weight Gain,1830,114.38,228.75,50.83
65,158,18,25,35.39,1399,Weight Loss,899,89.9,67.42,29.97
72,194,22,21,38.08,2075,Muscle Gain,2375,207.81,267.19,52.78
85,167,12,25,49.21,1448,Weight Gain,1948,121.75,243.5,54.11
103,150,13,30,53.93,1612,Weight Loss,1112,111.2,83.4,37.07
103,159,30,31,48.41,1885,Weight Gain,2385,149.06,298.12,66.25
62,186,15,21,28.14,2167,Weight Gain,2667,166.69,333.38,74.08
59,184,34,22,31.32,1316,Weight Gain,1816,113.5,227.0,50.44
101,173,20,23,46.29,2157,Weight Gain,2657,166.06,332.12,73.81
50,169,32,35,30.23,1403,Weight Gain,1903,118.94,237.88,52.86
61,176,31,29,36.85,2033,Weight Loss,1533,153.3,114.97,51.1
83,186,15,26,37.64,1800,Weight Loss,1300,130.0,97.5,43.33
82,156,29,31,36.92,1854,Weight Loss,1354,135.4,101.55,45.13
85,162,16,23,52.65,1756,Muscle Gain,2056,179.9,231.3,45.69
57,182,32,27,28.01,1358,Muscle Gain,1658,145.07,186.53,36.84
78,190,11,21,42.65,1378,Muscle Gain,1678,146.82,188.78,37.29
93,175,13,27,59.38,1944,Weight Gain,2444,152.75,305.5,67.89
60,164,31,28,29.46,1389,Muscle Gain,1689,147.79,190.01,37.53
91,175,34,29,46.69,1638,Muscle Gain,1938,169.57,218.03,43.07
62,157,17,23,32.71,1711,Muscle Gain,2011,175.96,226.24,44.69
92,150,26,34,58.28,1515,Weight Gain,2015,125.94,251.88,55.97
109,196,18,33,50.41,2052,Weight Gain,2552,159.5,319.0,70.89
54,169,29,28,29.13,1865,Weight Loss,1365,136.5,102.38,45.5
99,187,11,34,51.56,1421,Weight Loss,921,92.1,69.08,30.7
95,154,15,25,60.39,1745,Weight Gain,2245,140.31,280.62,62.36
63,159,23,32,34.13,1302,Weight Gain,1802,112.62,225.25,50.06
55,178,17,31,34.62,1919,Weight Loss,1419,141.9,106.42,47.3
66,197,20,32,36.66,2162,Weight Gain,2662,166.38,332.75,73.94
90,165,13,22,49.47,1995,Muscle Gain,2295,200.81,258.19,51.0
75,161,20,24,40.3,1318,Muscle Gain,1618,141.57,182.03,35.96
104,187,31,37,67.21,1559,Muscle Gain,1859,162.66,209.14,41.31
78,183,26,30,41.27,2147,Weight Gain,2647,165.44,330.88,73.53
83,157,22,29,45.27,1651,Muscle Gain,1951,170.71,219.49,43.36
79,150,20,26,47.9,1895,Weight Gain,2395,149.69,299.38,66.53
71,178,31,31,32.12,1373,Weight Loss,873,87.3,65.47,29.1
77,177,19,30,35.36,1469,Weight Gain,1969,123.06,246.12,54.69
104,157,25,24,51.91,1648,Muscle Gain,1948,170.45,219.15,43.29
93,162,22,29,58.62,1737,Muscle Gain,2037,178.24,229.16,45.27
76,183,28,20,34.88,1904,Muscle Gain,2204,192.85,247.95,48.98
98,152,29,39,58.88,1974,Muscle Gain,2274,198.97,255.83,50.53
98,188,23,36,59.54,1415,Weight Loss,915,91.5,68.62,30.5
69,176,27,23,42.74,2068,Weight Gain,2568,160.5,321.0,71.33
75,194,29,39,34.16,1614,Muscle Gain,1914,167.47,215.33,42.53
90,190,14,20,43.65,1653,Weight Loss,1153,115.3,86.47,38.43
90,178,13,24,53.44,2123,Muscle Gain,2423,212.01,272.59,53.84
70,184,21,38,35.45,1999,Muscle Gain,2299,201.16,258.64,51.09
96,156,17,24,51.25,1431,Muscle Gain,1731,151.46,194.74,38.47
91,169,24,37,44.68,1520,Weight Loss,1020,102.0,76.5,34.0
97,168,25,26,44.29,1793,Weight Loss,1293,129.3,96.97,43.1
76,153,24,22,41.91,2006,Muscle Gain,2306,201.77,259.43,51.24
73,176,17,23,42.98,1835,Weight Gain,2335,145.94,291.88,64.86
53,152,11,36,29.56,1547,Muscle Gain,1847,161.61,207.79,41.04
94,154,30,28,42.3,2060,Weight Gain,2560,160.0,320.0,71.11
55,186,34,29,26.96,1914,Weight Gain,2414,150.88,301.75,67.06
70,169,12,38,32.23,2143,Weight Gain,2643,165.19,330.38,73.42
100,185,24,28,61.97,1642,Weight Gain,2142,133.88,267.75,59.5
99,179,14,35,60.72,1505,Weight Loss,1005,100.5,75.38,33.5
97,196,31,23,62.76,1803,Weight Gain,2303,143.94,287.88,63.97
70,170,17,36,36.83,2098,Weight Gain,2598,162.38,324.75,72.17
59,181,11,28,29.72,1779,Weight Gain,2279,142.44,284.88,63.31
71,166,13,35,36.16,1452,Muscle Gain,1752,153.3,197.1,38.93
70,186,15,36,38.69,2028,Muscle Gain,2328,203.7,261.9,51.73
85,166,18,21,50.1,1395,Muscle Gain,1695,148.31,190.69,37.67
108,155,10,34,63.6,1466,Weight Loss,966,96.6,72.45,32.2
106,166,11,28,51.84,1440,Weight Gain,1940,121.25,242.5,53.89
55,169,29,22,26.06,1860,Muscle Gain,2160,189.0,243.0,48.0
94,150,26,22,51.37,1399,Weight Gain,1899,118.69,237.38,52.75
98,168,20,39,46.54,1377,Weight Gain,1877,117.31,234.62,52.14
82,163,11,23,46.07,2150,Weight Gain,2650,165.62,331.25,73.61
106,182,26,27,48.8,1492,Weight Loss,992,99.2,74.4,33.07
76,165,15,27,36.92,2131,Weight Gain,2631,164.44,328.88,73.08
84,168,21,35,40.01,1757,Weight Loss,1257,125.7,94.27,41.9
69,180,13,31,35.05,1675,Weight Gain,2175,135.94,271.88,60.42
100,186,17,26,51.26,1674,Muscle Gain,1974,172.72,222.08,43.87
99,165,32,38,56.98,1799,Weight Loss,1299,129.9,97.42,43.3
98,161,30,30,47.85,1439,Weight Loss,939,93.9,70.42,31.3
55,182,14,33,31.41,2187,Muscle Gain,2487,217.61,279.79,55.27
82,199,25,28,48.14,1496,Muscle Gain,1796,157.15,202.05,39.91
51,179,24,26,32.58,1440,Weight Gain,1940,121.25,242.5,53.89
56,164,32,33,33.95,1427,Weight Gain,1927,120.44,240.88,53.53
78,169,33,37,49.78,1660,Weight Loss,1160,116.0,87.0,38.67
57,175,19,36,26.83,1869,Weight Loss,1369,136.9,102.67,45.63
77,190,14,37,45.5,1724,Weight Loss,1224,122.4,91.8,40.8
76,198,21,26,38.22,2077,Weight Gain,2577,161.06,322.12,71.58
74,184,25,21,37.55,1885,Weight Gain,2385,149.06,298.12,66.25
71,175,20,26,34.39,1794,Weight Gain,2294,143.38,286.75,63.72
69,176,18,39,39.32,1895,Muscle Gain,2195,192.06,246.94,48.78
96,151,30,21,56.71,1433,Muscle Gain,1733,151.64,194.96,38.51
76,159,18,20,44.42,1625,Weight Loss,1125,112.5,84.38,37.5
108,185,11,23,69.05,1453,Weight Loss,953,95.3,71.47,31.77
59,164,31,38,36.97,2190,Weight Gain,2690,168.12,336.25,74.72
85,183,34,32,45.19,2180,Weight Loss,1680,168.0,126.0,56.0
53,156,26,28,28.62,2196,Weight Gain,2696,168.5,337.0,74.89
85,158,22,33,41.46,2099,Weight Gain,2599,162.44,324.88,72.19
97,187,26,29,43.81,1353,Weight Gain,1853,115.81,231.62,51.47
84,170,34,34,42.15,1904,Muscle Gain,2204,192.85,247.95,48.98
58,176,28,36,32.44,1340,Weight Gain,1840,115.0,230.0,51.11
99,169,22,27,57.5,2056,Muscle Gain,2356,206.15,265.05,52.36
96,181,29,34,43.77,2036,Weight Loss,1536,153.6,115.2,51.2
95,154,20,35,60.06,1502,Weight Loss,1002,100.2,75.15,33.4
99,152,10,30,56.33,1905,Muscle Gain,2205,192.94,248.06,49.0
59,167,15,38,32.37,1618,Weight Loss,1118,111.8,83.85,37.27
105,195,12,29,58.04,2187,Muscle Gain,2487,217.61,279.79,55.27
95,157,28,33,49.8,1372,Weight Loss,872,87.2,65.4,29.07
55,192,34,26,27.71,2095,Weight Loss,1595,159.5,119.62,53.17
103,186,18,37,62.57,2152,Weight Gain,2652,165.75,331.5,73.67
107,192,15,27,57.62,1551,Muscle Gain,1851,161.96,208.24,41.13
86,164,27,21,47.3,1811,Muscle Gain,2111,184.71,237.49,46.91
107,162,13,26,49.35,2121,Muscle Gain,2421,211.84,272.36,53.8
50,152,23,25,29.05,1684,Weight Gain,2184,136.5,273.0,60.67
87,170,25,24,52.84,2159,Weight Loss,1659,165.9,124.42,55.3
99,156,12,32,60.91,1894,Muscle Gain,2194,191.97,246.83,48.76
53,154,10,23,33.65,1582,Weight Gain,2082,130.12,260.25,57.83
72,174,30,39,44.97,2048,Muscle Gain,2348,205.45,264.15,52.18
95,181,32,24,48.96,1476,Weight Gain,1976,123.5,247.0,54.89
107,188,25,20,54.97,2128,Weight Loss,1628,162.8,122.1,54.27
55,194,12,26,26.88,1929,Weight Loss,1429,142.9,107.17,47.63
91,172,26,31,56.58,1713,Weight Loss,1213,121.3,90.97,40.43
71,158,24,24,37.79,1971,Weight Gain,2471,154.44,308.88,68.64
101,196,25,32,48.79,1915,Weight Loss,1415,141.5,106.12,47.17
51,186,15,31,28.2,1961,Weight Gain,2461,153.81,307.62,68.36
82,179,26,30,48.91,1798,Weight Gain,2298,143.62,287.25,63.83
107,159,24,38,52.91,2012,Weight Gain,2512,157.0,314.0,69.78
77,160,23,26,35.54,2057,Muscle Gain,2357,206.24,265.16,52.38
68,164,33,27,44.01,1436,Muscle Gain,1736,151.9,195.3,38.58
82,182,28,22,48.32,1474,Weight Gain,1974,123.38,246.75,54.83
50,178,27,21,26.62,2057,Weight Loss,1557,155.7,116.77,51.9
83,178,25,34,39.27,1732,Weight Loss,1232,123.2,92.4,41.07
78,188,33,36,38.32,1624,Weight Gain,2124,132.75,265.5,59.0
98,152,16,36,62.75,1492,Weight Loss,992,99.2,74.4,33.07
66,192,34,22,37.1,1928,Muscle Gain,2228,194.95,250.65,49.51
81,175,25,28,45.13,2132,Weight Loss,1632,163.2,122.4,54.4
106,171,25,28,57.98,1929,Weight Loss,1429,142.9,107.17,47.63
56,163,28,38,34.78,1728,Muscle Gain,2028,177.45,228.15,45.07
52,160,30,33,27.43,1531,Weight Gain,2031,126.94,253.88,56.42
100,197,11,27,62.55,2015,Muscle Gain,2315,202.56,260.44,51.44
106,189,13,34,49.11,2124,Weight Loss,1624,162.4,121.8,54.13
94,167,11,32,57.41,1634,Weight Loss,1134,113.4,85.05,37.8
108,191,12,38,50.11,1505,Muscle Gain,1805,157.94,203.06,40.11
104,153,29,30,60.46,1918,Muscle Gain,2218,194.07,249.53,49.29
79,192,11,36,41.45,1970,Weight Gain,2470,154.38,308.75,68.61
105,164,25,23,63.35,1549,Weight Gain,2049,128.06,256.12,56.92
86,197,22,26,50.35,1799,Weight Loss,1299,129.9,97.42,43.3
84,186,28,31,50.27,1882,Weight Loss,1382,138.2,103.65,46.07
77,155,26,35,46.33,2198,Weight Loss,1698,169.8,127.35,56.6
75,185,19,24,41.87,1873,Weight Gain,2373,148.31,296.62,65.92
61,191,22,30,30.76,1819,Muscle Gain,2119,185.41,238.39,47.09
106,189,22,21,56.71,2015,Weight Gain,2515,157.19,314.38,69.86
93,160,24,35,43.28,1813,Weight Gain,2313,144.56,289.12,64.25
61,175,32,37,39.14,1668,Weight Gain,2168,135.5,271.0,60.22
87,196,12,25,52.17,1360,Weight Loss,860,86.0,64.5,28.67
79,194,30,33,39.01,2167,Muscle Gain,2467,215.86,277.54,54.82
71,159,16,34,43.62,1779,Muscle Gain,2079,181.91,233.89,46.2
104,155,33,39,62.89,1639,Weight Loss,1139,113.9,85.42,37.97
77,157,10,24,38.65,1369,Weight Loss,869,86.9,65.17,28.97
70,181,12,34,39.3,1419,Weight Gain,1919,119.94,239.88,53.31
99,197,15,33,62.13,2043,Muscle Gain,2343,205.01,263.59,52.07
78,156,17,32,47.98,1557,Muscle Gain,1857,162.49,208.91,41.27
82,187,25,39,51.71,2098,Muscle Gain,2398,209.82,269.78,53.29
81,159,12,32,44.0,1650,Muscle Gain,1950,170.62,219.38,43.33
65,162,26,22,29.54,1998,Weight Loss,1498,149.8,112.35,49.93
100,160,25,22,45.31,1714,Weight Gain,2214,138.38,276.75,61.5
73,199,26,23,33.42,1506,Muscle Gain,1806,158.02,203.18,40.13
107,184,12,35,57.03,1424,Weight Gain,1924,120.25,240.5,53.44
68,174,13,38,36.62,1373,Weight Loss,873,87.3,65.47,29.1
92,174,29,35,52.38,1950,Weight Gain,2450,153.12,306.25,68.06
83,177,14,24,53.88,2079,Weight Gain,2579,161.19,322.38,71.64
53,198,19,39,33.81,1313,Muscle Gain,1613,141.14,181.46,35.84
81,160,27,37,38.23,1374,Weight Loss,874,87.4,65.55,29.13
93,154,32,28,53.83,2156,Weight Loss,1656,165.6,124.2,55.2
103,159,31,38,61.75,2138,Weight Loss,1638,163.8,122.85,54.6
64,189,21,37,37.35,1392,Weight Gain,1892,118.25,236.5,52.56
63,199,29,37,38.17,1674,Muscle Gain,1974,172.72,222.08,43.87
92,164,21,27,56.17,1521,Weight Gain,2021,126.31,252.62,56.14
52,177,33,32,25.0,2104,Weight Loss,1604,160.4,120.3,53.47
87,151,13,30,49.47,2110,Weight Gain,2610,163.12,326.25,72.5
69,157,17,36,39.42,1927,Muscle Gain,2227,194.86,250.54,49.49
65,195,20,26,35.77,1538,Muscle Gain,1838,160.82,206.78,40.84
102,172,33,28,66.24,1511,Weight Loss,1011,101.1,75.83,33.7
91,166,24,27,58.07,2184,Weight Gain,2684,167.75,335.5,74.56
95,169,16,31,58.27,1363,Weight Gain,1863,116.44,232.88,51.75
79,178,28,33,41.64,1370,Weight Gain,1870,116.88,233.75,51.94
83,169,27,25,52.99,1863,Muscle Gain,2163,189.26,243.34,48.07
86,169,12,24,51.76,2107,Muscle Gain,2407,210.61,270.79,53.49
89,160,23,27,43.96,1867,Weight Gain,2367,147.94,295.88,65.75
88,177,26,23,51.46,1335,Weight Loss,835,83.5,62.62,27.83
75,171,13,37,38.89,1682,Muscle Gain,1982,173.42,222.97,44.04
105,172,31,21,64.67,1310,Weight Gain,1810,113.12,226.25,50.28
81,154,15,29,44.64,1537,Muscle Gain,1837,160.74,206.66,40.82
93,197,32,36,50.07,2034,Muscle Gain,2334,204.22,262.57,51.87
91,191,30,21,49.29,1388,Weight Gain,1888,118.0,236.0,52.44
100,161,17,36,62.24,1570,Muscle Gain,1870,163.62,210.38,41.56
104,188,22,36,62.72,1339,Weight Gain,1839,114.94,229.88,51.08
76,170,27,32,45.47,1746,Weight Gain,2246,140.38,280.75,62.39
68,156,34,22,41.48,1738,Muscle Gain,2038,178.32,229.28,45.29
53,174,17,32,33.28,1528,Weight Gain,2028,126.75,253.5,56.33
68,162,34,33,39.37,1431,Muscle Gain,1731,151.46,194.74,38.47
57,174,22,25,27.15,1419,Weight Loss,919,91.9,68.92,30.63
79,152,12,32,41.97,2019,Weight Gain,2519,157.44,314.88,69.97
81,187,17,27,42.46,1305,Weight Gain,1805,112.81,225.62,50.14
81,184,19,22,50.93,1375,Weight Loss,875,87.5,65.62,29.17
108,180,14,39,63.13,1586,Weight Gain,2086,130.38,260.75,57.94
